Attendance_Rate,Grades,Distance_to_School,Socioeconomic_Status,Parent_Education_Level,School_Resources,Behavioral_Issues,Loan_Approval_Need,Priority_Score
88,80,28.0,Middle,Postgraduate,High,Yes,Low,45.6
78,84,5.8,Low,No High School,Low,No,Low,66.42
64,57,18.8,Middle,High School,Low,No,Low,35.12
92,86,0.5,High,Bachelor's,Low,No,High,56.95
57,75,40.9,Low,Postgraduate,Medium,No,Low,53.01
70,86,6.4,Low,Bachelor's,Low,No,High,59.76
88,61,14.2,Low,Bachelor's,Low,No,Medium,54.38
68,73,0.9,Middle,Bachelor's,Low,No,Low,44.51
72,86,21.6,Low,High School,Low,No,Medium,58.84
60,47,42.0,Low,Bachelor's,Low,No,Medium,37.6
60,79,19.6,Low,No High School,Medium,No,Medium,62.64
73,88,9.0,Middle,Postgraduate,Medium,Yes,Low,46.2
85,83,37.7,Low,High School,Medium,No,Low,64.93
89,58,39.4,Middle,High School,Low,No,Low,40.96
73,81,8.7,High,No High School,Medium,No,Low,58.43
52,80,38.5,Low,Bachelor's,Medium,Yes,Low,43.75
71,76,47.4,Middle,No High School,Low,No,Low,46.96
51,45,8.3,Low,Bachelor's,Medium,No,Low,42.47
73,91,38.5,Middle,Bachelor's,Low,No,Low,49.45
93,65,35.4,Middle,No High School,Medium,No,Low,55.36
79,73,23.7,Middle,Bachelor's,Low,No,Low,45.53
87,98,2.9,Low,Bachelor's,High,Yes,High,65.01
51,95,3.7,Low,High School,Low,Yes,Low,47.93
70,98,42.6,Low,No High School,Medium,No,Medium,70.94
82,84,49.5,Low,No High School,Medium,No,Low,68.25
61,45,33.8,Low,No High School,Medium,No,High,47.92
71,76,22.3,Low,No High School,Low,No,Low,59.47
93,96,32.4,Low,Postgraduate,Low,No,High,68.06
74,72,29.7,Low,No High School,Medium,No,Medium,63.03
98,92,19.2,Middle,Bachelor's,Low,Yes,Low,49.28
76,61,3.3,Low,No High School,Low,Yes,High,46.87
91,60,41.1,Low,High School,Medium,No,Medium,57.19
77,45,18.6,Low,Bachelor's,Medium,No,Low,49.24
65,45,40.9,Low,Bachelor's,Low,No,Medium,38.41
64,94,12.6,High,No High School,Low,No,High,55.54
96,87,0.1,Low,High School,Low,No,Medium,68.59
100,43,7.9,Middle,High School,Medium,No,Low,46.41
93,69,23.4,High,No High School,Medium,Yes,Medium,48.16
52,50,47.2,Middle,No High School,Medium,Yes,Medium,25.88
86,69,5.1,Middle,High School,High,No,High,52.89
100,70,42.7,Middle,High School,Low,No,Medium,48.73
56,63,26.4,High,Bachelor's,Low,No,Low,34.36
70,94,41.3,Middle,No High School,Low,No,High,54.47
58,48,14.9,Low,High School,Low,No,Low,40.11
88,94,42.0,Middle,High School,High,No,Low,59.8
67,42,38.6,Low,Bachelor's,Medium,No,Medium,43.04
53,90,11.5,Middle,Bachelor's,Low,No,Medium,45.75
74,70,6.6,Low,High School,Low,Yes,Low,44.54
63,79,43.4,Low,Bachelor's,Medium,No,Medium,56.16
99,76,48.2,Low,No High School,Medium,No,Low,70.28
58,75,1.6,Low,High School,Low,No,Medium,52.24
75,63,36.6,Low,No High School,High,No,High,59.04
51,70,45.5,Low,High School,Medium,No,Low,48.75
69,45,42.9,Low,Bachelor's,Low,Yes,Low,29.41
77,41,48.2,Low,Bachelor's,Medium,Yes,Low,34.68
96,59,38.0,Middle,No High School,Low,No,High,48.6
56,67,22.1,Low,High School,High,No,Low,51.39
93,50,15.6,Low,High School,High,No,Low,56.34
57,43,16.0,Middle,No High School,Medium,No,Medium,37.7
96,54,36.2,Low,No High School,Medium,Yes,Medium,51.78
84,45,37.3,Low,No High School,Low,No,Low,49.47
63,93,10.0,Middle,No High School,High,No,Medium,60.1
66,88,43.4,Middle,No High School,Medium,No,Low,55.66
85,69,35.7,Low,No High School,Medium,No,High,64.53
99,95,28.1,Low,No High School,High,Yes,Low,69.89
89,77,23.6,High,Bachelor's,High,No,Low,55.14
53,90,27.2,Middle,High School,Medium,Yes,Medium,39.18
51,96,8.0,Low,Postgraduate,Low,No,Low,57.9
55,41,10.2,Middle,High School,High,Yes,Medium,21.88
91,54,4.6,Low,Bachelor's,Medium,No,Low,58.44
53,50,7.7,Low,Bachelor's,High,No,Low,45.13
78,47,22.7,Low,High School,Medium,Yes,Medium,39.93
67,65,26.5,Middle,High School,Low,No,Medium,38.45
75,90,0.9,Low,Bachelor's,Low,No,Medium,63.41
93,84,39.8,Middle,No High School,Medium,No,Low,62.52
83,83,14.7,Low,No High School,Medium,Yes,Low,61.63
59,44,45.6,Low,High School,Low,No,Low,35.74
85,45,48.4,Low,High School,Medium,Yes,Low,38.66
63,65,9.3,Middle,No High School,Low,No,Medium,43.97
80,93,23.1,Low,Postgraduate,Medium,No,High,68.89
97,43,0.1,Low,High School,Low,Yes,Low,41.29
64,58,29.9,Middle,High School,Low,No,Low,34.41
57,59,30.4,Low,Postgraduate,Low,Yes,Low,32.66
63,72,12.4,High,High School,Low,Yes,Low,31.46
72,59,27.9,Low,Postgraduate,Low,No,Low,47.41
89,88,11.3,Middle,High School,Low,No,High,55.77
70,51,8.0,Low,No High School,Low,No,Medium,50.6
65,86,32.6,High,Bachelor's,High,Yes,High,40.64
94,40,16.3,Low,High School,Medium,Yes,High,42.57
67,65,29.5,Low,Bachelor's,Low,No,Medium,48.15
96,53,21.7,Low,Postgraduate,High,No,Medium,57.83
73,77,49.2,Low,Bachelor's,Low,No,Low,52.78
75,76,7.5,Low,High School,Medium,Yes,Medium,52.15
74,50,23.2,High,Bachelor's,Medium,No,High,39.88
94,75,34.0,Low,High School,Low,No,Low,59.8
90,52,19.8,Middle,High School,Low,No,High,40.82
78,82,48.7,Middle,Bachelor's,Low,Yes,Low,36.33
64,42,36.1,Middle,No High School,Low,No,High,32.39
94,72,32.8,Low,Bachelor's,Medium,No,High,63.72
50,45,37.9,Low,Bachelor's,Low,No,Medium,34.21
74,89,47.6,Middle,Bachelor's,Low,No,Medium,48.04
56,95,45.4,High,High School,Low,Yes,Medium,35.26
58,49,36.2,Low,Bachelor's,Low,Yes,High,28.38
73,44,37.5,Low,High School,Medium,No,High,45.75
50,62,7.3,Low,Bachelor's,Low,No,Medium,44.07
93,49,5.1,High,No High School,Medium,No,Medium,51.99
57,83,28.5,Low,No High School,Low,No,Medium,57.45
73,41,0.9,Low,No High School,Low,Yes,High,38.21
60,52,24.1,Middle,High School,Medium,No,Medium,36.39
100,79,10.5,Low,High School,Low,No,High,65.55
66,41,17.3,Low,Bachelor's,Medium,No,Medium,44.47
57,59,38.8,Middle,High School,Medium,No,Low,36.82
84,40,47.1,High,High School,Low,No,Low,31.49
84,76,3.6,Low,No High School,Low,No,Medium,65.24
82,48,26.7,Low,High School,Low,No,Low,46.13
54,56,44.1,Low,High School,Low,Yes,Low,29.19
91,48,4.1,Low,No High School,Low,No,Medium,56.09
88,50,41.2,Middle,No High School,Low,No,Low,42.28
90,54,17.9,Low,No High School,Low,Yes,Low,46.81
77,63,16.1,Low,No High School,Medium,No,Medium,61.69
56,77,48.9,Low,High School,Medium,Yes,High,42.71
58,94,10.0,Low,No High School,Medium,No,Medium,69.0
57,74,34.7,Low,Bachelor's,Low,No,High,48.23
61,69,41.1,Middle,Bachelor's,Low,No,Medium,36.79
83,70,2.1,Low,High School,Medium,No,Low,62.69
82,88,33.5,Middle,Postgraduate,Medium,No,Medium,56.45
97,44,47.6,Middle,High School,Medium,Yes,Medium,31.94
72,99,6.2,Low,High School,Low,No,Low,65.58
73,83,44.8,Low,Postgraduate,Medium,No,Low,60.62
86,89,29.7,Low,No High School,Medium,No,Medium,73.43
84,53,30.8,Low,Postgraduate,Low,No,Low,48.32
93,92,30.6,Low,No High School,Low,No,Medium,71.64
89,95,14.9,Low,High School,Medium,No,Low,73.21
71,50,46.8,Low,No High School,Low,Yes,Medium,36.62
76,48,47.4,Middle,Bachelor's,Low,Yes,Medium,22.26
84,73,31.3,Low,High School,Medium,No,Low,61.27
50,51,39.2,Middle,Bachelor's,High,No,Low,31.48
84,74,30.6,Low,No High School,Low,Yes,Medium,51.74
86,74,24.2,Middle,No High School,Low,Yes,High,42.98
96,40,33.0,Low,No High School,Low,No,High,51.5
63,79,27.7,Low,No High School,Medium,Yes,Medium,52.73
52,61,29.9,Middle,Postgraduate,Low,No,Medium,32.01
50,99,39.2,Low,No High School,High,Yes,Low,55.68
54,68,24.0,Low,Bachelor's,Low,No,Low,46.0
75,47,2.0,High,Bachelor's,Low,No,Low,36.1
63,50,8.2,Low,No High School,Medium,Yes,Medium,43.08
88,80,21.9,Low,High School,Medium,No,Low,66.21
76,76,36.2,Middle,No High School,Low,No,Low,49.58
58,53,29.7,Middle,No High School,Low,No,Medium,35.63
64,99,32.5,Middle,No High School,High,Yes,Medium,50.55
64,69,24.0,Low,High School,Low,Yes,Low,39.4
75,74,30.8,Middle,High School,Medium,Yes,Low,39.02
91,60,16.5,Low,High School,Low,No,Medium,54.65
62,76,23.5,Middle,High School,Medium,Yes,Medium,36.65
100,44,37.2,High,No High School,Medium,No,Medium,48.88
81,58,43.6,Middle,High School,Low,No,Low,38.14
88,98,21.7,Middle,Bachelor's,Medium,Yes,Medium,53.43
98,53,2.2,Low,No High School,Low,No,High,60.38
81,65,8.1,Middle,No High School,Low,No,Low,49.49
53,43,1.0,Middle,Bachelor's,Medium,No,High,33.0
79,64,32.7,Low,No High School,Low,No,Low,56.03
86,84,16.6,Middle,High School,Medium,Yes,Low,47.74
72,81,27.1,Low,No High School,Low,No,Medium,61.29
88,64,24.7,Middle,No High School,Low,Yes,Low,39.53
94,57,4.1,Middle,No High School,Low,No,Low,50.59
64,79,20.2,Middle,No High School,Low,No,Medium,48.78
92,47,11.0,Low,High School,Low,No,Medium,50.3
78,78,20.9,Low,High School,Medium,Yes,High,52.51
85,79,10.2,Low,Bachelor's,High,No,Medium,66.08
62,53,42.0,High,Bachelor's,Medium,Yes,Low,25.6
81,71,8.7,Low,High School,Low,No,Medium,56.83
56,90,48.0,Low,Bachelor's,Low,No,Medium,53.0
100,100,20.8,Middle,No High School,Low,No,High,67.92
71,77,42.3,Low,High School,Low,Yes,High,42.87
77,72,31.4,Middle,Bachelor's,Medium,Yes,High,38.76
51,62,36.8,Middle,No High School,Low,No,Medium,36.42
91,54,38.4,Middle,High School,Low,No,Medium,40.06
94,72,25.2,Low,No High School,High,No,Low,69.48
55,64,27.2,Low,High School,Low,Yes,High,34.38
